position,feature_index,feature,impact_score,instability_score,windows,coverage_rate,first_episode,last_episode,final_weight,mean_abs_weight,weight_std,total_abs_delta_w,net_signed_delta_w,relative_jitter,direction_changes,direction_changes_per_window,sign_flips,mean_abs_delta_w,delta_w_std,mean_abs_td_x_feature,mean_signed_td_x_feature,mean_abs_contribution,final_abs_contribution,mean_signed_contribution,mean_activation_rate,mean_abs_feature,mean_abs_raw_td,mean_abs_clipped_td,performance_corr,improvement_corr,positive_improvement_signal,negative_improvement_signal
landlord_down,34,action_type_0,0.22116499935183775,0.6701178934130576,20,1.0,2500,50000,-0.03175463527441025,0.01696715740254149,0.017103546467272017,558.6793652366738,-0.03176255360568407,0.9999431470793768,17,0.8947368421052632,11267,0.0007958605101891449,0.023504166863003096,0.13264315941393198,-7.869005578800641e-06,0.008467438932403593,0.016123915455605098,-0.004781863066816265,0.49675363902591024,0.49675363902591024,0.26018073391186164,0.260175831843263,0.2872207380929913,0.10545179812849183,0.03481946174303667,0.012345778826176573
landlord_down,24,action_is_pass,0.22116499935183775,0.6701178934130576,20,1.0,2500,50000,-0.03175463527441025,0.01696715740254149,0.017103546467272017,558.6793652366738,-0.03176255360568407,0.9999431470793768,17,0.8947368421052632,11267,0.0007958605101891449,0.023504166863003096,0.13264315941393198,-7.869005578800641e-06,0.008467438932403593,0.016123915455605098,-0.004781863066816265,0.49675363902591024,0.49675363902591024,0.26018073391186164,0.260175831843263,0.2872207380929913,0.10545179812849183,0.03481946174303667,0.012345778826176573
landlord_up,96,action_preserves_control,0.41391885314077326,0.6645373153804228,20,1.0,2500,50000,-0.03396302089095116,0.040931095008272675,0.05027295548304954,919.5292877097418,-0.03394893968897931,0.9999630800887555,14,0.7368421052631579,9121,0.00134103224304166,0.04586834125852354,0.2235052595298427,-9.445648848892174e-06,0.035025191218774634,0.028809657842814695,0.007464976008812402,0.8537044506983689,0.8537044506983689,0.25162309204384203,0.2516161889784982,-0.5901864617763486,0.12319793475822176,0.06394039459224779,0.022096315797344692
landlord_down,70,played_group_control_a_2_joker,0.2596873041817478,0.6511682256990909,20,1.0,2500,50000,-0.05746527761220932,0.029668831056915222,0.03539759916214003,653.3196191069928,-0.05747095732873508,0.9999120324024444,17,0.8947368421052632,7949,0.0009304649034550222,0.04098773567242553,0.1550773812834915,-1.4036272267188359e-05,0.013794991231433221,0.026182061500802174,-0.003844113607356997,0.8476118081760411,0.464795828612221,0.26018073391186164,0.260175831843263,-0.06612059431510199,-0.21323703638103939,0.041022724694515386,0.01525153385869608
landlord_down,96,action_preserves_control,0.38719374406678175,0.6363573552274904,20,1.0,2500,50000,-0.010454959236085415,0.037750781327486035,0.040555616947134304,937.3065802986797,-0.01042072772985796,0.9999888822633396,14,0.7368421052631579,7050,0.001335168444780101,0.049538320340292104,0.2225279519987517,-2.599168632502723e-06,0.03179651145626167,0.008805147013610157,0.021400777689146364,0.8423952657725783,0.8423952657725783,0.26018073391186164,0.260175831843263,-0.6754886525492864,0.1239658961912523,0.06259561190685303,0.021436896059128484
landlord,96,action_preserves_control,0.40115183381418595,0.6218846415707113,20,1.0,2500,50000,0.07076720893383026,0.03975701970048249,0.038340736149170586,908.1706129030429,0.07078655591864741,0.999922055883649,11,0.5789473684210527,9461,0.0012504367885373545,0.03443662181836182,0.20840600146631338,1.630931628404001e-05,0.03258021782695009,0.05806550318964045,0.02144269013770134,0.8198105288573554,0.8198105288573554,0.24891593433689235,0.24891230829512406,0.644677890865593,-0.05892532121188551,0.059213610488041114,0.021788336163861485
landlord_up,4,is_farmer,0.466714322580416,0.6212196166616992,20,1.0,2500,50000,-0.02223082445561886,0.04347136754076928,0.041733678034642355,1035.1589618443488,-0.022231514172020184,0.9999785235746474,14,0.7368421052631579,5523,0.001509696841994697,0.041201211788525406,0.2516161889784982,-5.169111627545355e-06,0.04347136754076928,0.02223082445561886,0.02951941869687289,1.0,1.0,0.25162309204384203,0.2516161889784982,-0.7677861295214643,0.1507216998532354,0.07292203943361718,0.02500378065162708
landlord_up,2,position_landlord_up,0.466714322580416,0.6212196166616992,20,1.0,2500,50000,-0.02223082445561886,0.04347136754076928,0.041733678034642355,1035.1589618443488,-0.022231514172020184,0.9999785235746474,14,0.7368421052631579,5523,0.001509696841994697,0.041201211788525406,0.2516161889784982,-5.169111627545355e-06,0.04347136754076928,0.02223082445561886,0.02951941869687289,1.0,1.0,0.25162309204384203,0.2516161889784982,-0.7677861295214643,0.1507216998532354,0.07292203943361718,0.02500378065162708
landlord_up,0,bias,0.466714322580416,0.6212196166616992,20,1.0,2500,50000,-0.02223082445561886,0.04347136754076928,0.041733678034642355,1035.1589618443488,-0.022231514172020184,0.9999785235746474,14,0.7368421052631579,5523,0.001509696841994697,0.041201211788525406,0.2516161889784982,-5.169111627545355e-06,0.04347136754076928,0.02223082445561886,0.02951941869687289,1.0,1.0,0.25162309204384203,0.2516161889784982,-0.7677861295214643,0.1507216998532354,0.07292203943361718,0.02500378065162708
landlord_down,107,played_high_cards_ratio,0.26456345639842516,0.6186885667115872,20,1.0,2500,50000,-0.06742283701896667,0.032162689766846594,0.0397385804938944,649.4509714242434,-0.0674285847054304,0.9998961760199425,15,0.7894736842105263,7111,0.0009250106501748533,0.042428795341959674,0.15416830584153068,-1.6261767167458892e-05,0.014690496650717469,0.030417790983090432,-0.003160317653031692,0.8292509353324142,0.46070301240807643,0.26018073391186164,0.260175831843263,0.2188906341247372,-0.16669391889499183,0.04118779568417175,0.015237675525246517
