version,lr_label,alpha,kind,rank,feature,category,importance_score,instability_score,flips_per_1k_updates,abs_delta_w_per_update,relative_jitter,mean_abs_contribution,mean_activation_rate
trimmed,10x,0.06,importance,1,bias,position_identity,0.45096817534658046,58.05493033037236,66.02367394068537,0.021645491806472596,0.9999968947625612,0.08924995164076487,1.0
trimmed,10x,0.06,importance,2,action_preserves_control,action_context,0.3957163293711721,46.235054233831406,44.717730964933196,0.01834802180231011,0.9999940045548017,0.08886365240961708,0.8727157198028838
trimmed,10x,0.06,importance,3,is_farmer,position_identity,0.326838072196288,44.463222961673544,47.344431993149534,0.015525520539800717,0.9999929624613011,0.06433539688587189,0.6666666666666666
trimmed,10x,0.06,importance,4,landlord_down_cards_left,cards_left,0.29457718110861353,31.88398286243423,25.875505926677445,0.011533923692515626,0.9999856799247624,0.10184423219278856,1.0
trimmed,10x,0.06,importance,5,landlord_up_cards_left,cards_left,0.288456608973071,33.069978011404245,27.012938184135535,0.012264990931657671,0.9999811806092356,0.08339163642030697,1.0
trimmed,10x,0.06,importance,6,action_type_0,action_context,0.2500763839249317,36.51344566825629,38.02723197366055,0.011302553069724558,0.9999999809067508,0.06064984743741912,0.560479937328471
trimmed,10x,0.06,importance,7,action_is_pass,action_context,0.2500763839249317,36.51344566825629,38.02723197366055,0.011302553069724558,0.9999999809067508,0.06064984743741912,0.560479937328471
trimmed,10x,0.06,importance,8,played_low_cards_ratio,rank_summary,0.24810148771500992,35.00397869269743,33.26277918938764,0.011698938527359896,0.9999928489582474,0.052517033098226196,0.9572331845949278
trimmed,10x,0.06,importance,9,played_group_low_3_to_7,new_grouped_rank_summary,0.24810148771500992,35.00397869269743,33.26277918938764,0.011698938527359896,0.9999928489582474,0.052517033098226196,0.9572331845949278
trimmed,10x,0.06,importance,10,played_jokers_ratio,rank_summary,0.24646019415958195,35.9525656951298,34.655465387867416,0.012090401737280987,0.9999977802701846,0.04445886608103725,0.6039742168370758
trimmed,10x,0.06,instability,1,bias,position_identity,0.45096817534658046,58.05493033037236,66.02367394068537,0.021645491806472596,0.9999968947625612,0.08924995164076487,1.0
trimmed,10x,0.06,instability,2,action_preserves_control,action_context,0.3957163293711721,46.235054233831406,44.717730964933196,0.01834802180231011,0.9999940045548017,0.08886365240961708,0.8727157198028838
trimmed,10x,0.06,instability,3,is_farmer,position_identity,0.326838072196288,44.463222961673544,47.344431993149534,0.015525520539800717,0.9999929624613011,0.06433539688587189,0.6666666666666666
trimmed,10x,0.06,instability,4,played_group_control_a_2_joker,new_grouped_rank_summary,0.22730451573185353,40.410909071562685,46.38507385332988,0.011856945733852908,0.999993379637782,0.02918158486230132,0.8590368862343319
trimmed,10x,0.06,instability,5,played_high_cards_ratio,rank_summary,0.22814281518264723,37.93040446152027,40.32969150922773,0.01179860533623766,0.9999922521591512,0.030989484282806824,0.8247112286244648
trimmed,10x,0.06,instability,6,played_group_ace_2,new_grouped_rank_summary,0.22814281518264723,37.93040446152027,40.32969150922773,0.01179860533623766,0.9999922521591512,0.030989484282806824,0.8247112286244648
trimmed,10x,0.06,instability,7,action_type_0,action_context,0.2500763839249317,36.51344566825629,38.02723197366055,0.011302553069724558,0.9999999809067508,0.06064984743741912,0.560479937328471
trimmed,10x,0.06,instability,8,action_is_pass,action_context,0.2500763839249317,36.51344566825629,38.02723197366055,0.011302553069724558,0.9999999809067508,0.06064984743741912,0.560479937328471
