version,lr_label,alpha,run,feature,category,rows,updates,abs_delta_w_sum,sign_flips,flips_per_1k_updates,abs_delta_w_per_update,relative_jitter,mean_abs_contribution,mean_avg_abs_td_x_feature,mean_activation_rate,instability_score,importance_score
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,bias,position_identity,60,2319259.0,50201.501681587826,153126.0,66.02367394068537,0.021645491806472596,0.9999968947625612,0.08924995164076487,0.3617182237058156,1.0,58.05493033037236,0.45096817534658046
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,action_preserves_control,action_context,60,2319259.0,42553.81469720394,103712.0,44.717730964933196,0.01834802180231011,0.9999940045548017,0.08886365240961708,0.30685267696155505,0.8727157198028838,46.235054233831406,0.3957163293711721
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,is_farmer,position_identity,60,2319259.0,36007.70324161767,109804.0,47.344431993149534,0.015525520539800717,0.9999929624613011,0.06433539688587189,0.2625026753104161,0.6666666666666666,44.463222961673544,0.326838072196288
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,landlord_down_cards_left,cards_left,60,2319259.0,26750.1563291801,60012.0,25.875505926677445,0.011533923692515626,0.9999856799247624,0.10184423219278856,0.192732948915825,1.0,31.88398286243423,0.29457718110861353
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,landlord_up_cards_left,cards_left,60,2319259.0,28445.69060316544,62650.0,27.012938184135535,0.012264990931657671,0.9999811806092356,0.08339163642030697,0.20506497255276404,1.0,33.069978011404245,0.288456608973071
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,action_type_0,action_context,60,2319259.0,26213.547929936307,88195.0,38.02723197366055,0.011302553069724558,0.9999999809067508,0.06064984743741912,0.1894265364875126,0.560479937328471,36.51344566825629,0.2500763839249317
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,action_is_pass,action_context,60,2319259.0,26213.547929936307,88195.0,38.02723197366055,0.011302553069724558,0.9999999809067508,0.06064984743741912,0.1894265364875126,0.560479937328471,36.51344566825629,0.2500763839249317
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,played_low_cards_ratio,rank_summary,60,2319259.0,27132.868470026184,77145.0,33.26277918938764,0.011698938527359896,0.9999928489582474,0.052517033098226196,0.19558445461678373,0.9572331845949278,35.00397869269743,0.24810148771500992
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,played_group_low_3_to_7,new_grouped_rank_summary,60,2319259.0,27132.868470026184,77145.0,33.26277918938764,0.011698938527359896,0.9999928489582474,0.052517033098226196,0.19558445461678373,0.9572331845949278,35.00397869269743,0.24810148771500992
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,played_jokers_ratio,rank_summary,60,2319259.0,28040.773042804565,80375.0,34.655465387867416,0.012090401737280987,0.9999977802701846,0.04445886608103725,0.2020013280785447,0.6039742168370758,35.9525656951298,0.24646019415958195
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,played_group_joker,new_grouped_rank_summary,60,2319259.0,28040.773042804565,80375.0,34.655465387867416,0.012090401737280987,0.9999977802701846,0.04445886608103725,0.2020013280785447,0.6039742168370758,35.9525656951298,0.24646019415958195
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,played_mid_cards_ratio,rank_summary,60,2319259.0,26793.821093924664,67868.0,29.26279471158676,0.01155275072509136,0.9999910982191137,0.047754089899781284,0.19304110343306596,0.9278826174060097,33.2577795919172,0.24079519333284724
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,played_group_mid_8_to_k,new_grouped_rank_summary,60,2319259.0,26793.821093924664,67868.0,29.26279471158676,0.01155275072509136,0.9999910982191137,0.047754089899781284,0.19304110343306596,0.9278826174060097,33.2577795919172,0.24079519333284724
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,max_enemy_cards_left,cards_left,60,2319259.0,19195.279514302125,16182.0,6.977228502724362,0.00827647085310529,0.9999805451071937,0.093781231153867,0.137420328764338,1.0,21.067167705266975,0.23120155991820499
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,played_high_cards_ratio,rank_summary,60,2319259.0,27364.021613517216,93535.0,40.32969150922773,0.01179860533623766,0.9999922521591512,0.030989484282806824,0.1971533308998404,0.8247112286244648,37.93040446152027,0.22814281518264723
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,played_group_ace_2,new_grouped_rank_summary,60,2319259.0,27364.021613517216,93535.0,40.32969150922773,0.01179860533623766,0.9999922521591512,0.030989484282806824,0.1971533308998404,0.8247112286244648,37.93040446152027,0.22814281518264723
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,played_group_control_a_2_joker,new_grouped_rank_summary,60,2319259.0,27499.328105749963,107579.0,46.38507385332988,0.011856945733852908,0.999993379637782,0.02918158486230132,0.1981229308695522,0.8590368862343319,40.410909071562685,0.22730451573185353
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,action_is_nonpass,action_context,60,2319259.0,23988.35096433854,64928.0,27.995148450431795,0.010343110003815244,0.9999934804185687,0.05154567439337743,0.1722916872183031,0.439520062671529,31.54110418817365,0.22383736161168052
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,last_player_enemy,last_move_context,60,2319259.0,24991.951437339554,88326.0,38.083715531555555,0.010775834625343506,0.9999922822745462,0.0443715257380093,0.1792833111960187,0.505140861502587,36.00924366071119,0.223654836934028
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,next_cards_left,cards_left,60,2319259.0,20037.730212321443,33232.0,14.328714473027807,0.008639712172000385,0.9999905332847339,0.075336998674916,0.14492307302542848,0.9786064873664444,24.371103294058848,0.22026007170034448
