version,lr_label,alpha,run,category,rows,updates,abs_delta_w_sum,sign_flips,flips_per_1k_updates,abs_delta_w_per_update,relative_jitter,mean_abs_contribution,mean_avg_abs_td_x_feature,mean_activation_rate
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,new_grouped_rank_summary,840,32469626.0,214973.06737822108,686458.0,21.14154317638275,0.0066207435644075815,0.9999883843464863,0.027889803028760582,0.11060194019615811,0.6301980347227132
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,action_context,1080,41746662.0,212995.01177774285,497392.0,11.914533430241681,0.005102084851185056,0.9999868927284944,0.03697950345134688,0.08516435452593042,0.29277255986445266
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,rank_summary,480,18554072.0,168669.73109065703,496244.0,26.74582700767788,0.009090712329382846,0.9999957317739875,0.04088937252461797,0.1518678510060928,0.8277349576793167
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,cards_left,480,18554072.0,166907.39643466607,319628.0,17.226838399678517,0.008995728616050755,0.9999986120348177,0.07405518109911781,0.1505296081687601,0.955659144254139
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,farmer_role_specialized,1200,46385180.0,153112.08473179862,408941.0,8.816199484404287,0.0033008837031956893,0.9999953446209315,0.012876247242241326,0.05579904319090193,0.11796021236697136
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,position_identity,300,11596295.0,136410.70660479338,416056.0,35.87835597490405,0.011763300830549186,0.9999958567711869,0.048567060033480325,0.19718782454440947,0.5333333333333333
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,other_compact_base,1260,48704439.0,114680.84053993168,287798.0,5.9090712450255305,0.002354628097449838,0.9999867334945453,0.013947438734619882,0.03938476115527851,0.3289099955363841
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,old_rank_last_move,480,18554072.0,95775.64708485018,295623.0,15.933052324039705,0.005161974529626174,0.999993829178421,0.030883487098275417,0.0862580715235885,0.4288139092404047
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,last_move_context,240,9277036.0,64034.90442678654,263164.0,28.367250057022524,0.0069025176173496084,0.9999959968833505,0.02653938839773415,0.11526878191434792,0.316687544244963
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,control_bomb,600,23192590.0,55530.80006379663,182610.0,7.873635501683943,0.00239433371019781,0.999960021343782,0.010693463869146609,0.039999391169837015,0.3721504806047047
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,hand_structure,360,13915554.0,41080.143689044824,70606.0,5.073890698135338,0.0029521026391794982,0.999982022107899,0.04214454473329124,0.049457768856422925,0.6448810935471712
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,landlord_specialized,540,20873331.0,24090.566800889195,39285.0,1.8820666428372166,0.0011541314034108497,0.9999601674479843,0.006394487401081717,0.018708370051244566,0.05837196432591129
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,old_rank_action_counts,660,25511849.0,4583.235682376752,12871.0,0.5045106687484706,0.00017965125469254512,0.9994245962703688,0.0017700717225669683,0.0029795567214152725,0.019967744491883897
trimmed,10x,0.06,better_approxq_logadp_finetune_50k_time_equal_lr_10x,old_rank_landlord_bottom,60,2319259.0,1813.2210900693528,2487.0,1.072325255609658,0.0007818105222699806,0.9997355045237516,0.008796768914317963,0.013062089207449003,0.24185600873985055
