episodes,overall_win_rate,landlord_win_rate,farmer_win_rate,games,checkpoint,result_json
5000,0.5756666666666667,0.681,0.523,3000,policy_gradient_checkpoints/policy_gradient/pg_full_5k/5000.pkl,evaluate_results\pg_full_5k_vs_native_rlcard_rotate_1000.json
10000,0.5966666666666667,0.685,0.5525,3000,policy_gradient_checkpoints/policy_gradient/pg_full_5k/10000.pkl,evaluate_results\pg_full_10k_vs_native_rlcard_rotate_1000.json
15000,0.5926666666666667,0.676,0.551,3000,policy_gradient_checkpoints/policy_gradient/pg_full_5k/15000.pkl,evaluate_results\pg_full_15k_vs_native_rlcard_rotate_1000.json
16000,0.598,0.695,0.5495,3000,policy_gradient_checkpoints/policy_gradient/pg_full_5k/16000.pkl,evaluate_results\pg_full_16k_vs_native_rlcard_rotate_1000.json
17000,0.6073333333333333,0.706,0.558,3000,policy_gradient_checkpoints/policy_gradient/pg_full_5k/17000.pkl,evaluate_results\pg_full_17k_vs_native_rlcard_rotate_1000.json
18000,0.593,0.718,0.5305,3000,policy_gradient_checkpoints/policy_gradient/pg_full_5k/18000.pkl,evaluate_results\pg_full_18k_vs_native_rlcard_rotate_1000.json
19000,0.584,0.704,0.524,3000,policy_gradient_checkpoints/policy_gradient/pg_full_5k/19000.pkl,evaluate_results\pg_full_19k_vs_native_rlcard_rotate_1000.json
20000,0.5213333333333333,0.69,0.437,3000,policy_gradient_checkpoints/policy_gradient/pg_full_5k/20000.pkl,evaluate_results\pg_full_20k_vs_native_rlcard_rotate_1000.json
