episodes,overall_win_rate,landlord_win_rate,farmer_win_rate,games,checkpoint,result_json
5000,0.442,0.44,0.443,3000,actor_critic_checkpoints/actor_critic/ac_full_5k/5000.pkl,evaluate_results\ac_full_5k_vs_native_rlcard_rotate_1000.json
10000,0.44666666666666666,0.412,0.464,3000,actor_critic_checkpoints/actor_critic/ac_full_5k/10000.pkl,evaluate_results\ac_full_10k_vs_native_rlcard_rotate_1000.json
15000,0.5023333333333333,0.49,0.5085,3000,actor_critic_checkpoints/actor_critic/ac_full_5k/15000.pkl,evaluate_results\ac_full_15k_vs_native_rlcard_rotate_1000.json
16000,0.5073333333333333,0.508,0.507,3000,actor_critic_checkpoints/actor_critic/ac_full_5k/16000.pkl,evaluate_results\ac_full_16k_vs_native_rlcard_rotate_1000.json
17000,0.51,0.507,0.5115,3000,actor_critic_checkpoints/actor_critic/ac_full_5k/17000.pkl,evaluate_results\ac_full_17k_vs_native_rlcard_rotate_1000.json
18000,0.5173333333333333,0.518,0.517,3000,actor_critic_checkpoints/actor_critic/ac_full_5k/18000.pkl,evaluate_results\ac_full_18k_vs_native_rlcard_rotate_1000.json
19000,0.502,0.504,0.501,3000,actor_critic_checkpoints/actor_critic/ac_full_5k/19000.pkl,evaluate_results\ac_full_19k_vs_native_rlcard_rotate_1000.json
20000,0.5136666666666667,0.488,0.5265,3000,actor_critic_checkpoints/actor_critic/ac_full_5k/20000.pkl,evaluate_results\ac_full_20k_vs_native_rlcard_rotate_1000.json
